parsed_from,year,month,region,median,mean,modal
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2024,октябрь,омск,37000.0,61046.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2024,декабрь,воронеж,40000.0,58788.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2024,октябрь,воронеж,40000.0,58788.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2023,февраль,омск,30000.0,51550.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2023,апрель,воронеж,38000.0,54240.0,40000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2024,апрель,воронеж,40000.0,58788.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2023,апрель,омск,34500.0,55182.0,30000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2022,февраль,воронеж,35000.0,45625.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2024,апрель,омск,37000.0,61046.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2022,февраль,омск,28000.0,44992.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2024,апрель,пермь,40000.0,61504.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2024,декабрь,пермь,40000.0,61504.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%BE%D0%BC%D1%81%D0%BA,2024,декабрь,омск,37000.0,61046.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2024,октябрь,пермь,40000.0,61504.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2023,февраль,пермь,35000.0,52377.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6,2023,февраль,воронеж,35000.0,50355.0,40000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2024,апрель,волгоград,38000.0,58132.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D0%BA,2024,октябрь,донецк,30000.0,68024.0,19000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2022,февраль,волгоград,30000.0,44538.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2024,декабрь,волгоград,38000.0,58132.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2024,октябрь,волгоград,38000.0,58132.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2022,февраль,пермь,30000.0,44579.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D0%BA,2023,февраль,донецк,30000.0,64066.0,100000.0
