date,value
1896-01-01,30.54
1926-01-01,42.93
1958-01-01,67.91
1961-01-01,68.75
1962-01-01,69.38
1964-01-01,69.61
1965-01-01,69.50
1966-01-01,69.45
1967-01-01,69.34
1968-01-01,69.06
1969-01-01,68.81
1970-01-01,68.93
1971-01-01,68.95
1972-01-01,68.88
1973-01-01,68.90
1974-01-01,68.60
1975-01-01,68.13
1976-01-01,67.95
1977-01-01,67.85
1978-01-01,67.72
1979-01-01,67.54
1980-01-01,67.61
1981-01-01,68.01
1982-01-01,68.25
1983-01-01,67.93
1984-01-01,68.08
1985-01-01,69.26
1986-01-01,70.13
1988-01-01,69.90
1989-01-01,69.57
1990-01-01,69.19
1991-01-01,69.01
1992-01-01,67.89
1993-01-01,65.14
1994-01-01,63.98
1995-01-01,64.52
1996-01-01,65.89
1997-01-01,66.64
1998-01-01,67.02
1999-01-01,65.93
2000-01-01,65.34
2001-01-01,65.23
2002-01-01,64.95
2003-01-01,64.84
2004-01-01,65.31
2005-01-01,65.37
2006-01-01,66.69
2007-01-01,67.61
2008-01-01,67.99
2009-01-01,68.78
2010-01-01,68.94
2011-01-01,69.83
2012-01-01,70.24
2013-01-01,70.76
2014-01-01,70.93
2015-01-01,71.39
2016-01-01,71.87
2017-01-01,72.70
2018-01-01,72.91
2019-01-01,73.34
2020-01-01,71.54
2021-01-01,70.06
2022-01-01,72.73
