date,value
2025-01-01,17733
2024-01-01,15453
2023-01-01,14375
2022-06-01,13919
2022-01-01,12654
2021-01-01,11653
2020-10-01,11329
2020-07-01,11606
2020-04-01,11468
2020-01-01,10843
2019-10-01,10609
2019-07-01,11012
2019-04-01,11185
2019-01-01,10753
2018-10-01,10213
2018-07-01,10451
2018-04-01,10444
2018-01-01,10038
2017-10-01,9786
2017-07-01,10328
2017-04-01,10329
2017-01-01,9909
2016-10-01,9691
2016-07-01,9889
2016-04-01,9956
2016-01-01,9776
2015-10-01,9452
2015-07-01,9673
2015-04-01,10017
2015-01-01,9662
2014-10-01,8234
2014-07-01,8086
2014-04-01,8192
2014-01-01,7688
2013-10-01,7326
2013-07-01,7429
2013-04-01,7372
2013-01-01,7095
2012-10-01,6705
2012-07-01,6643
2012-04-01,6385
2012-01-01,6307
2011-10-01,6209
2011-07-01,6287
2011-04-01,6505
2011-01-01,6473
2010-10-01,5902
2010-07-01,5707
2010-04-01,5625
2010-01-01,5518
2009-10-01,5144
2009-07-01,5198
2009-04-01,5187
2009-01-01,5083
2008-10-01,4693
2008-07-01,4630
2008-04-01,4646
2008-01-01,4402
2007-10-01,4005
2007-07-01,3879
2007-04-01,3809
2007-01-01,3696
2006-10-01,3437
2006-07-01,3434
2006-04-01,3443
2006-01-01,3374
2005-10-01,3060
2005-07-01,3047
2005-04-01,3053
2005-01-01,2910
2004-10-01,2451
2004-07-01,2396
2004-04-01,2363
2004-01-01,2293
2003-10-01,2143
2003-07-01,2121
2003-04-01,2137
2003-01-01,2047
2002-10-01,1893
2002-07-01,1817
2002-04-01,1804
2002-01-01,1719
2001-10-01,1574
2001-07-01,1524
2001-04-01,1507
2001-01-01,1396
2000-10-01,1285
2000-07-01,1234
2000-04-01,1185
2000-01-01,1137.66
